"ABSOLUTE_BEAM_ID","DEVICEID","ACTIVATION_DATE","LONGITUDE","LATITUDE","SERVICE_PLAN_NAME","LATITUDE_DEGREES","LONGITUDE_DEGREES","X","CAPOVERALL","CurrentModCodValue","USGOVERALL","SPECTRAL_EFFICIENCY","SPECTRAL_EFFICIENCY_BINNED","TOTAL_USAGE","TOTAL_USAGE_BINNED","lat","lng","loc","country"
"Beam 20","TERM1064","2017-06-05 12:19:10.0",2657.631287,7526.544105,"I20E_3D_.5U_NSP1",75.44240175,26.96052145,190,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1297","2017-03-04 19:06:36.0",2654.194646,7473.061229,"I20E_3D_.5U_NSP1",75.21768715,26.9032441,10,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1068","2017-06-04 18:40:35.0",2662.342787,7503.873651,"I20E_1.5D_.2U_5GB_NSP1",75.06456085,27.03904645,12,5000,"8PSK - two-third",4304,2,"[2 to 3)",0.696,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1065","2017-06-05 01:10:02.0",2672.286535,7548.99553,"I20E_5D_1U_NSP1",75.8165921666667,27.2047755833333,26,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1023","2017-06-09 03:01:40.0",2665.778916,7544.747958,"I20E_3D_.5U_NSP1",75.7457993,27.0963152666667,73,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM242","2017-09-16 21:05:48.0",2661.526631,7496.922436,"I20E_1.5D_.2U_NSP1",75.6153739333333,27.02544385,158,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM628","2017-08-04 19:28:00.0",2647.654531,7581.349498,"I20E_1.5D_.2U_NSP1",76.3558249666667,26.7942421833333,66,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1027","2017-06-08 23:24:56.0",2646.751896,7605.909346,"I20E_3D_.5U_NSP1",76.0984891,26.7791982666667,77,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1225","2017-04-17 02:45:55.0",2635.257858,7547.906196,"I20E_3D_.5U_NSP1",75.7984366,26.5876309666667,2,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1271","2017-03-20 22:32:04.0",2651.491084,7546.529886,"I20E_1.5D_.2U_NSP1",75.7754981,26.8581847333333,167,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM632","2017-08-04 15:24:09.0",2629.248938,7584.075762,"I20E_3D_.5U_NSP1",76.4012627,26.4874823,96,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM677","2017-07-28 14:17:25.0",2657.531348,7560.337751,"I20E_1.5D_.2U_NSP1",76.0056291833333,26.9588558,133,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM470","2017-08-19 17:05:53.0",2647.726886,7517.422871,"I20E_1.5D_.2U_NSP1",75.2903811833333,26.7954481,165,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1263","2017-03-23 18:13:30.0",2634.72018,7540.948531,"I20E_5D_1U_NSP1",75.6824755166667,26.5786696666667,20,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM414","2017-08-26 14:44:02.0",2676.066856,7509.944592,"I20E_5D_1U_NSP1",75.1657432,27.2677809333333,31,0,"16APSK - three-fourth",0,3,"[3 and above)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1318","2017-02-21 21:30:04.0",2657.445684,7561.411473,"I20E_1.5D_.2U_5GB_NSP1",76.02352455,26.9574280666667,9,5000,"8PSK - three-fourth",1750,2.25,"[2 to 3)",3.25,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM504","2017-08-17 04:45:45.0",2669.888707,7487.530614,"I20E_3D_.5U_NSP1",75.4588435666667,27.1648117833333,145,0,"32APSK - two-third",0,3.333,"[3 and above)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM807","2017-07-08 18:16:45.0",2660.477912,7391.256427,"I20E_3D_.5U_NSP1",74.52094045,27.0079652,178,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1220","2017-04-19 01:27:17.0",2647.353552,7619.223975,"I20E_5D_1U_NSP1",76.3203995833333,26.7892258666667,30,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM58","2017-10-03 02:03:26.0",2652.122237,7594.75938,"I20E_10D_2U_NSP1",76.579323,26.86870395,38,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM173","2017-09-22 00:37:29.0",2296.697356,7764.629536,"I20E_10D_2U",78.0771589333333,23.6116226,813,200,"8PSK - two-third",191,2,"[2 to 3)",0.009,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1137","2017-05-19 20:40:16.0",2666.920676,7595.631039,"I20E_3D_.5U_NSP1",76.59385065,27.1153446,34,0,"16APSK - three-fourth",0,3,"[3 and above)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1040","2017-06-07 22:58:36.0",2649.77426,7516.305527,"I20E_3D_.5U_NSP1",75.2717587833333,26.829571,89,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM511","2017-08-16 21:44:07.0",2660.03483,7558.730864,"I20E_1.5D_.2U_NSP1",75.9788477333333,27.0005805,209,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1092","2017-05-29 22:35:04.0",2668.056922,7507.032263,"I20E_3D_.5U_NSP1",75.1172043833333,27.1342820333333,68,200,"8PSK - three-fourth",200,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM352","2017-09-04 22:38:55.0",2321.300884,7725.680272,"I20E_5D_1U",77.4280045333333,23.3550147333333,816,200,"16APSK - two-third",200,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM357","2017-09-03 19:21:36.0",2661.58198,7532.79346,"I20E_3D_.5U_NSP1",75.5465576666667,27.0263663333333,11,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1195","2017-04-25 17:45:19.0",2643.126013,7537.784663,"I20E_1D_1U",75.6297443833333,26.7187668833333,35,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM853","2017-06-30 22:12:26.0",2655.303414,7608.61103,"I20E_3D_.5U_NSP1",76.1435171666667,26.9217235666667,201,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM474","2017-08-19 01:20:36.0",2644.085961,7646.23358,"I20E_5D_1U_NSP1",76.7705596666667,26.7347660166667,206,200,"8PSK - two-third",200,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM891","2017-06-23 15:29:09.0",2657.316837,7519.497715,"I20E_1.5D_.2U_NSP1",75.3249619166667,26.9552806166667,193,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1298","2017-03-04 00:19:49.0",2657.847962,7452.993221,"I20E_3D_.5U_NSP1",74.88322035,26.9641327,15,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1252","2017-03-29 03:24:37.0",2672.226852,7529.801508,"I20E_1.5D_.2U_5GB_NSP1",75.4966918,27.2037808666667,1,200,"16APSK - two-third",199,2.66,"[2 to 3)",0.001,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM810","2017-07-08 01:27:45.0",2674.246754,7537.964228,"I20E_20D_4U_NSP1",75.6327371333333,27.2374459,194,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1253","2017-03-29 02:30:09.0",2677.550707,7538.427152,"I20E_3D_.5U_NSP1",75.6404525333333,27.2925117833333,185,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1255","2017-03-28 23:35:46.0",2664.421258,7548.03596,"I20E_5D_1U_20GB_NSP1",75.8005993333333,27.0736876333333,187,20000,"8PSK - three-fourth",15342,2.25,"[2 to 3)",4.658,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM395","2017-08-29 18:51:33.0",2308.855718,7627.666714,"I20E_5D_1U",76.4611119,23.1475953,817,200,"16APSK - two-third",188,2.66,"[2 to 3)",0.012,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1057","2017-06-06 02:38:47.0",2647.631277,7549.4929,"I20E_3D_.5U_NSP1",75.8248816666667,26.7938546166667,75,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1258","2017-03-28 01:34:01.0",2616.700593,7537.063457,"I20E_5D_1U_NSP1",75.6177242833333,26.2783432166667,189,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1111","2017-05-24 21:57:01.0",2664.824226,7537.910867,"I20E_3D_.5U_NSP1",75.6318477833333,27.0804037666667,170,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1163","2017-05-12 21:48:24.0",2642.739418,7541.978671,"I20E_3D_.5U_NSP1",75.6996445166667,26.7123236333333,50,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM516","2017-08-16 18:54:58.0",2661.129267,7558.895452,"I20E_1.5D_.2U_NSP1",75.9815908666667,27.0188211166667,102,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM907","2017-06-21 17:41:03.0",2677.111256,7495.847389,"I20E_3D_.5U_NSP1",75.5974564833333,27.2851876,79,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1317","2017-02-22 06:10:02.0",2671.845725,7624.562964,"I20E_3D_.5U_10GB_NSP1",76.4093827333333,27.19742875,182,10000,"QPSK - fifth-sixth",0,1.666,"[0.5 to 2)",10,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM855","2017-06-30 16:25:43.0",2625.690151,7625.722238,"I20E_5D_1U_NSP1",76.4287039666667,26.4281691833333,97,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1321","2017-02-18 13:31:33.0",2657.015819,7528.232494,"I20E_1.5D_.2U_5GB_NSP1",75.4705415666667,26.95026365,181,5000,"16APSK - two-third",2871,2.66,"[2 to 3)",2.129,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM489","2017-08-18 00:10:15.0",2653.912972,7668.638717,"I20E_3D_.5U_NSP1",77.1439786166667,26.8985495333333,164,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM537","2017-08-15 17:33:20.0",2627.049777,7567.131855,"I20E_5D_1U_NSP1",76.11886425,26.4508296166667,157,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1223","2017-04-17 23:54:43.0",2674.038642,7573.554505,"I20E_10D_2U_NSP1",76.2259084166667,27.2339773666667,23,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM492","2017-08-17 20:55:27.0",2647.543097,7482.719197,"I20E_1.5D_.2U_NSP1",75.3786532833333,26.79238495,207,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM862","2017-06-29 02:22:59.0",2651.988265,7547.878131,"I20E_1.5D_.2U_NSP1",75.79796885,26.8664710833333,114,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM864","2017-06-28 23:41:07.0",2691.806461,7568.345653,"I20E_3D_.5U_NSP1",76.1390942166667,27.5301076833333,107,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1276","2017-03-17 03:27:00.0",2671.149836,7532.154373,"I20E_1.5D_.2U_NSP1",75.5359062166667,27.1858306,14,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1177","2017-05-08 23:14:47.0",2663.636323,7503.375529,"I20E_3D_.5U_NSP1",75.0562588166667,27.0606053833333,46,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM852","2017-07-01 08:03:38.0",2651.982835,7508.148583,"I20E_3D_.5U_NSP1",75.1358097166667,26.8663805833333,200,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM113","2017-09-27 21:40:17.0",2654.234648,7553.953077,"I20E_3D_.5U_NSP1",75.89921795,26.9039108,44,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM30","2017-10-04 20:39:25.0",2649.523544,7518.287444,"I20E_3D_.5U_NSP1",75.3047907333333,26.8253924,52,200,"8PSK - two-third",0,2,"[2 to 3)",0.2,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM871","2017-06-27 01:55:49.0",2651.69726,7553.082757,"I20E_5D_1U_NSP1",75.8847126166667,26.861621,113,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1183","2017-05-02 21:37:09.0",2648.930578,7582.901201,"I20E_1.5D_.2U_5GB_NSP1",76.3816866833333,26.8155096333333,24,5000,"16APSK - two-third",346,2.66,"[2 to 3)",4.654,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM463","2017-08-20 19:11:11.0",2653.358936,7558.475404,"I20E_1.5D_.2U_NSP1",75.9745900666667,26.8893156,153,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM507","2017-08-16 22:25:04.0",2658.354332,7444.253225,"I20E_10D_2U_NSP1",74.73755375,26.9725722,163,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM316","2017-09-08 18:12:24.0",2283.502988,7696.77446,"I20E_1.5D_.2U",77.6129076666667,23.3917164666667,814,200,"8PSK - three-fourth",0,2.25,"[2 to 3)",0.2,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1089","2017-05-30 17:57:08.0",2658.272213,7510.686978,"I20E_3D_.5U_NSP1",75.1781163,26.97120355,56,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM784","2017-07-11 19:40:31.0",2637.305751,7589.424114,"I20E_3D_.5U_NSP1",76.4904019,26.6217625166667,121,0,"QPSK - fifth-sixth",0,1.666,"[0.5 to 2)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM469","2017-08-19 17:09:15.0",2661.300125,7554.148711,"I20E_10D_2U_NSP1",75.9024785166667,27.02166875,155,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM879","2017-06-25 01:00:46.0",2653.120797,7562.765326,"I20E_3D_.5U_NSP1",76.0460887666667,26.8853466166667,101,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM47","2017-10-03 19:42:07.0",2655.943097,7533.512276,"I20E_5D_1U_NSP1",75.5585379333333,26.93238495,184,0,"QPSK - two-third",0,1.333,"[0.5 to 2)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM369","2017-08-31 20:09:03.0",2325.18076,7773.556038,"I20E_1.5D_.2U",78.2259339666667,23.4196793333333,811,200,"8PSK - three-fourth",191,2.25,"[2 to 3)",0.009,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM885","2017-06-23 21:53:44.0",2650.46593,7514.890488,"I20E_5D_1U_NSP1",75.2481748,26.8410988333333,92,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM143","2017-09-25 23:36:08.0",2638.264459,7538.979315,"I20E_3D_.5U_NSP1",75.64965525,26.6377409833333,120,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM655","2017-08-01 22:54:28.0",2669.497189,7470.719541,"I20E_20D_4U_NSP1",75.1786590166667,27.1582864833333,129,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM991","2017-06-11 14:02:34.0",2645.71772,7565.555415,"I20E_1.5D_.2U_NSP1",76.09259025,26.761962,59,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1051","2017-06-06 22:30:39.0",2669.906833,7508.843831,"I20E_10D_2U_NSP1",75.1473971833333,27.1651138833333,33,0,"16APSK - two-third",0,2.66,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM383","2017-08-30 19:45:59.0",2655.135451,7462.580795,"I20E_10D_2U_NSP1",75.04301325,26.9189241833333,32,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM896","2017-06-23 01:19:15.0",2643.827828,7548.676599,"I20E_5D_1U_NSP1",75.81127665,26.7304638,183,0,"8PSK - two-third",0,2,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
"Beam 20","TERM1153","2017-05-16 16:42:52.0",2657.973658,7594.770457,"I20E_3D_.5U_NSP1",76.5795076166667,26.9662276333333,43,0,"8PSK - three-fourth",0,2.25,"[2 to 3)",0,"< 100GB",75.7872709,26.9124336,"Jaipur, India","India"
